Club Name,Web Page,Practice Locations,Latitude,Longitude
55 South VBC,Facebook - 55SouthVBC,"DeSoto Knights of Columbus Hall, De Soto, MO",38.11155813,-90.56388593
55 South VBC,Facebook - 55SouthVBC,"Athena Elementary School, De Soto, MO",38.12305203,-90.47450095
55 South VBC,Facebook - 55SouthVBC,"Vineland Elementary School, De Soto, MO",38.12748749,-90.56919626
55 South VBC,Facebook - 55SouthVBC,"De Soto Jr High School, De Soto, MO",38.1339976,-90.5667794
314 VBC,314vbc.org,"Legacy VTC, Fenton, MO",38.50629093,-90.43312937
618 VBC,,"Eden Church, Edwardsville",38.8168344,-89.9636044
Aces VBC,acesvbc.net,"St. Charles, MO",38.7877791,-90.6747372
Aces VBC,acesvbc.net,"Florissant, MO",38.78984395,-90.32100233
AIR ASSAULT VOLLEYBALL CLUB,,"South Central Middle School, Kinmundy, IL",38.77427929,-88.83710898
AIR ASSAULT VOLLEYBALL CLUB,,"South Central Elementary School, Kinmundy, IL",39.01744052,-88.87305594
AIR ASSAULT VOLLEYBALL CLUB,,"Kinmundy Christian Church, Kinmundy, IL",38.77150808,-88.85036879
Arcadia Valley Volleyball Club (AVVBC),,"Arcadia Valley Elementary School, Ironton, MO",37.59436722,-90.63564696
Arcadia Valley Volleyball Club (AVVBC),,"Arcadia Valley Middle School, Ironton, MO",37.59345976,-90.63231955
Arcadia Valley Volleyball Club (AVVBC),,"Arcadia Valley High School, Ironton, MO",37.59427049,-90.63128339
Arch City Volleyball Club,archcityvolleyballclub.com,"Steel Shop Athletics, St. Charles, MO",38.78995651,-90.47715956
Attack VBC,attackvolleyball.leagueapps.com,"Hazelwood, Florissant",38.8181995,-90.3443806
Blue Phoenix,https://www.facebook.com/Blue-Phoenix-VBC-100600451638401,Jackie Joyner Kersee Center,38.6230867,-90.1240732
Blue Phoenix,https://www.facebook.com/Blue-Phoenix-VBC-100600451638401,"Cahokia Fitness Center, Sauget, IL",38.57017489,-90.18325363
Blue Steel VBC,www.bluesteelvbc.com,"Belleville, IL",38.5135805,-89.9841627
Blue Steel VBC,www.bluesteelvbc.com,"O'Fallon, IL ",38.5922715,-89.9112124
Bluff Impact,,"Poplar Bluff Junior High School, Poplar Bluff, MO",36.76088006,-90.40773233
BoCo Smashers,,Meadow Heights High School,37.5145009,-89.9792735
Bootheel SMASH VBC,,"Clarkton High School, Clarkson, MO",36.45545206,-89.96524963
Club Gemini Volleyball,http://www.clubgeminivb.club/index.html,"The Pavilion at Lemay, St. Louis County, Missouri",38.5116229,-90.2828664
Core,corestlvolleyball.com,"St. Dominic High School, O' Fallon, MO",38.8413084,-90.71946973
Cyclone Volleyball Club,,"Legacy VTC, Fenton, MO",38.50629093,-90.43312937
Eclipse 17,,"Lesterville School Gym, Lesterville, MO",37.45446942,-90.84833094
Elite VBC,,"St. Elizabeth, Crestwood, MO",38.5607607,-90.3851047
Empower Volleyball,,"Sacred Heart Church, Dexter, MO",36.79675479,-89.95524564
Fervent Volleyball Club,https://sites.google.com/view/ferventvolleyball and https://www.facebook.com/ferventvolleyball,"Clearwater, MO",37.76682344,-90.13805103
Fervent Volleyball Club,https://sites.google.com/view/ferventvolleyball and https://www.facebook.com/ferventvolleyball,"Greenville, MO",37.12720106,-90.44957934
Fervent Volleyball Club,https://sites.google.com/view/ferventvolleyball and https://www.facebook.com/ferventvolleyball,"Ellington, MO",37.24191826,-90.96837824
Festus Fire,https://www.facebook.com/ffvbc/,"Festus, MO",38.2207112,-90.3959504
Festus Fire,https://www.facebook.com/ffvbc/,"Hillsboro, MO",38.23248231,-90.56409389
Finesse Volleyball,finessevolleyballacademy.com,Parkway School District,38.64099062,-90.52168936
Finesse Volleyball,finessevolleyballacademy.com,Green Park Lutheran School,38.52760884,-90.31434474
Force VBC,,Casey Westfield High School,39.3048931,-87.9880622
Force VBC,,"Roosevelt School, Casey, IL",39.3003148,-87.9880894
Franklin County United Volleyball Club,www.fcunitedvolleyball.com,"The Competitive Edge, Union, MO",38.4901536,-91.0044743
Franklin County United Volleyball Club,www.fcunitedvolleyball.com,"Washington, MO",37.9559513,-90.879099
Franklin County United Volleyball Club,www.fcunitedvolleyball.com,"Union, MO",38.4443875,-91.0082308
Franklin County United Volleyball Club,www.fcunitedvolleyball.com,"St. Clair, MO",38.34692461,-90.98700498
Franklin County United Volleyball Club,www.fcunitedvolleyball.com,"Pacific, MO",38.481809,-90.7415865
Franklin County United Volleyball Club,www.fcunitedvolleyball.com,"Cuba, MO",38.063021,-91.4032473
